id, name
4,The Scoop at Walter's
22,Pho Than Brothers - West Seattle
41,Alki Juice & Java
45,Cafe Cuzco
79,The Highlands
100,Caffe Delia
113,Urban Oasis
115,Port & Anchor
117,Pineapple Espresso & Bar
121,City Latte Belltown
127,Slow Coffee Shop
145,Chicka Latte
294,Foxy Lady Latte
163,Le Petite Cafe
173,Art Coffee & More
187,Seattle's Best Coffee - Retail Cafes- Down
199,Petra Mediterranean Bistro
210,ladybug espresso
213,Amazon - Van Vorst (SEA21)
214,Caffe Vita - Amazon
243,Starbucks Secure Access Sodo 8
244,Starbucks Coffee Gear
232,Phoenix Cafe
245,Team Refreshers & Doubleshot
246,Visions Espresso Service
254,Fergy's Cafe & Hawaiian Vacation Travel Agency
255,Cafe Abodegas
276,Sky High Espresso
277,Ladybug Espresso
279,FIX Coffeehouse
282,Azaleos Corporation
320,Good Citizen
323,Vero Cafe
324,Polar Cafe
331,Let It Bean
342,Trinity Market
353,Inès Pâtisserie
356,The Maple Leaf Living Room
364,Ground Control
365,Treehouse Coffee
380,Cafe ABoDegas
389,espresso express
404,El Portal Coffee Roasters
406,Chicka Latte
412,Seattle Central Grind
413,Dorothea Coffee
416,My Coffeehouse
426,Coffee Crew
431,North Star Fine Coffees
